event_id,title,category_type,event_category_name,venue_name,city,state,get_in_price,stats_total_quantity,forecast_is_available,forecast_value,days_until_event,last_updated_epoch,review_score,price_score,supply_score,movement_score,forecast_score,urgency_score,staleness_score,event_utc_datetime
10871552,Reno Rodeo,SPORT,Rodeo,Reno Livestock Events Center,Reno,NV,137.0,75,False,0.0,12,1779833203.0,0.582,1.0,0.996,0.052,0.0,0.7,1.0,2026-06-20 06:59:00+00:00
45967367,August Wilson's Joe Turner's Come and Gone,THEATER,Broadway,Barrymore Theatre-NY,New York,NY,209.0,191,False,-100.0,11,1779856599.0,0.582,1.0,0.989,0.055,0.0,0.7,1.0,2026-06-19 23:00:00+00:00
133565863,Vidyasagar,CONCERT,World Music,Great Canadian Casino Resort Toronto,Toronto,ON,191.0,254,False,-100.0,12,1779867217.0,0.581,1.0,0.985,0.055,0.0,0.7,1.0,2026-06-20 21:00:00+00:00
43323453,Grand Ole Opry,CONCERT,Country and Folk,Grand Ole Opry House,Nashville,TN,114.0,903,True,0.2,11,1779879062.0,0.58,0.851,0.947,0.113,0.2,0.7,1.0,2026-06-19 00:00:00+00:00
65961388,Jackson Hole Rodeo,SPORT,Rodeo,Jackson Hole Rodeo,Jackson Hole,WY,160.0,25,False,-100.0,13,1779857946.0,0.58,1.0,0.999,0.041,0.0,0.7,1.0,2026-06-21 02:00:00+00:00
29557444,Winstock Country Music Festival - Saturday,CONCERT,Music Festivals,Winstock Country Music Festival Grounds,Winsted,MN,295.0,8,False,-100.0,12,1779758762.0,0.58,1.0,1.0,0.041,0.0,0.7,1.0,2026-06-20 17:00:00+00:00
115743810,Demolition Derby,SPORT,Other Sports,Alamosa Fair and Rodeo Grounds,Alamosa,CO,59.0,88,False,-100.0,13,1779889990.0,0.58,1.0,0.995,0.045,0.0,0.7,1.0,2026-06-21 00:30:00+00:00
132210932,Marcello Hernandez,THEATER,Comedy,Walt Disney Theater at Dr Phillips Center,Orlando,FL,172.0,226,False,0.27,13,1779883829.0,0.58,1.0,0.987,0.052,0.0,0.7,1.0,2026-06-21 23:30:00+00:00
10667648,Snake River Stampede,SPORT,Rodeo,Ford Idaho Center Arena,Nampa,ID,87.0,88,False,0.0,12,1779833183.0,0.58,1.0,0.995,0.045,0.0,0.7,1.0,2026-06-20 01:30:00+00:00
61834871,Megan Moroney,CONCERT,Country and Folk,Scotiabank Arena,Toronto,ON,242.0,154,True,0.02,12,1779884845.0,0.579,1.0,0.991,0.031,0.02,0.7,1.0,2026-06-20 23:00:00+00:00
17465599,Dear Evan Hansen,THEATER,Arts and Theater,The Phoenix Theatre Company - Hormel Theatre,Phoenix,AZ,171.0,3,False,0.0,12,1779833223.0,0.579,1.0,1.0,0.038,0.0,0.7,1.0,2026-06-20 21:00:00+00:00
45522881,Reno Rodeo - PRCA Xtreme Bulls,SPORT,Rodeo,Reno Livestock Events Center,Reno,NV,92.0,80,False,-100.0,11,1779856587.0,0.579,1.0,0.995,0.041,0.0,0.7,1.0,2026-06-19 02:00:00+00:00
10667591,Snake River Stampede,SPORT,Rodeo,Ford Idaho Center Arena,Nampa,ID,76.0,80,False,0.0,11,1779879073.0,0.579,1.0,0.995,0.038,0.0,0.7,1.0,2026-06-19 01:30:00+00:00
85003730,America,CONCERT,Rock,Capital One Hall,Tysons,VA,283.0,14,False,-100.0,12,1779833244.0,0.578,1.0,0.999,0.034,0.0,0.7,1.0,2026-06-20 23:00:00+00:00
109583822,Ragtime,THEATER,Musical,Lincoln Center - Vivian Beaumont,New York,NY,193.0,409,False,-100.0,13,1779879611.0,0.578,1.0,0.976,0.052,0.0,0.7,1.0,2026-06-21 00:00:00+00:00
82823324,Bryce Canyon Country Rodeo,SPORT,Rodeo,Ruby's Inn Rodeo Grounds,Bryce Canyon City,UT,50.0,14,False,-100.0,12,1779808040.0,0.578,0.893,0.999,0.141,0.0,0.7,1.0,2026-06-20 05:59:00+00:00
82822563,Bryce Canyon Country Rodeo,SPORT,Rodeo,Ruby's Inn Rodeo Grounds,Bryce Canyon City,UT,50.0,14,False,-100.0,11,1779807726.0,0.578,0.893,0.999,0.141,0.0,0.7,1.0,2026-06-19 05:59:00+00:00
109584869,Ragtime,THEATER,Musical,Lincoln Center - Vivian Beaumont,New York,NY,202.0,606,False,-100.0,13,1779879928.0,0.578,1.0,0.965,0.062,0.0,0.7,1.0,2026-06-21 19:00:00+00:00
82605702,Frozen - The Musical,THEATER,Musical,UC Davis Health Pavilion,Sacramento,CA,151.0,54,False,-100.0,13,1779879650.0,0.578,0.888,0.997,0.144,0.0,0.7,1.0,2026-06-21 02:30:00+00:00
113100946,Matt Andersen,CONCERT,Blues and Jazz,Majestic Theatre - Newfoundland,St. John's,NL,138.0,4,False,-100.0,12,1779824676.0,0.577,1.0,1.0,0.027,0.0,0.7,1.0,2026-06-20 22:30:00+00:00
