event_id,title,category_type,window_days,direction,percent_change,raw_change,get_in_price,event_utc_datetime
13752169,Little Women,THEATER,30,up,141.0,1.41,210.0,2026-06-19 00:30:00+00:00
13752169,Little Women,THEATER,14,up,141.0,1.41,210.0,2026-06-19 00:30:00+00:00
13752169,Little Women,THEATER,3,up,141.0,1.41,210.0,2026-06-19 00:30:00+00:00
90570531,Edwin McCain with Five for Fighting,CONCERT,14,up,140.0,1.4,48.0,2026-06-20 00:30:00+00:00
107822356,Jeezy,CONCERT,14,up,139.0,1.39,737.0,2026-06-21 03:00:00+00:00
131556638,Starhaven Rounders - Dinner Matinee Show,CONCERT,14,up,138.0,1.38,49.0,2026-06-20 00:00:00+00:00
131556638,Starhaven Rounders - Dinner Matinee Show,CONCERT,7,up,138.0,1.38,49.0,2026-06-20 00:00:00+00:00
61396953,Something Rotten,THEATER,30,up,137.0,1.37,242.0,2026-06-21 00:00:00+00:00
61397795,Guys and Dolls,THEATER,30,up,137.0,1.37,242.0,2026-06-23 18:00:00+00:00
61396312,Something Rotten,THEATER,30,up,136.0,1.36,241.0,2026-06-19 18:00:00+00:00
128622676,Living Parallel,CONCERT,14,up,136.0,1.36,34.0,2026-06-20 23:00:00+00:00
21483342,Seattle Mariners at Pittsburgh Pirates,SPORT,7,up,136.0,1.36,42.0,2026-06-24 22:40:00+00:00
21483219,Seattle Mariners at Pittsburgh Pirates,SPORT,7,up,136.0,1.36,43.0,2026-06-23 22:40:00+00:00
29985413,Oh Mary,THEATER,30,up,136.0,1.36,260.0,2026-06-25 19:00:00+00:00
61396952,The Tempest,THEATER,30,up,136.0,1.36,241.0,2026-06-20 18:00:00+00:00
92360515,Mini Kiss,CONCERT,30,up,135.0,1.35,153.0,2026-06-26 23:00:00+00:00
58794955,Atomic Saloon Show (18+ Event),THEATER,30,up,134.0,1.34,173.0,2026-06-21 02:30:00+00:00
52444842,Sesame Street Live - Elmos Got The Moves,THEATER,30,up,133.0,1.33,128.0,2026-06-20 22:00:00+00:00
1437565,Othello,THEATER,14,up,133.0,1.33,209.0,2026-06-21 18:00:00+00:00
29984916,Oh Mary,THEATER,30,up,133.0,1.33,256.0,2026-06-22 23:30:00+00:00
106051780,New Summer Sounds Series,CONCERT,7,up,131.0,1.31,49.0,2026-06-21 23:00:00+00:00
122720906,80s Night Flashback,CONCERT,14,up,130.0,1.3,95.0,2026-06-27 01:00:00+00:00
122720906,80s Night Flashback,CONCERT,30,up,130.0,1.3,95.0,2026-06-27 01:00:00+00:00
85222865,Mortician (21+ Event),CONCERT,7,up,129.0,1.29,223.0,2026-06-21 01:00:00+00:00
1276713,Beauty and The Beast,THEATER,30,up,129.0,1.29,149.0,2026-06-25 02:30:00+00:00
85222865,Mortician (21+ Event),CONCERT,14,up,129.0,1.29,223.0,2026-06-21 01:00:00+00:00
85003730,America,CONCERT,30,up,129.0,1.29,283.0,2026-06-20 23:00:00+00:00
1263809,The Notebook - The Musical,THEATER,14,up,127.0,1.27,284.0,2026-06-25 00:30:00+00:00
116409285,UMI,CONCERT,30,up,126.0,1.26,163.0,2026-06-25 02:30:00+00:00
