event_id,title,category_type,event_category_name,forecast_value,forecast_layover_text,get_in_price,stats_total_quantity,event_utc_datetime
95019655,Kurt Vile and The Violators,CONCERT,Rock,-0.01,,72.0,37,2026-06-21 23:00:00+00:00
85005527,Dave Matthews Band,CONCERT,Rock,-0.01,,90.0,1865,2026-06-25 00:30:00+00:00
83265356,Luke Bryan,CONCERT,Country and Folk,-0.01,,167.0,869,2026-06-25 23:00:00+00:00
109585765,CA7RIEL and Paco Amoroso,CONCERT,Dance/Electronica,-0.01,,99.0,88,2026-06-23 23:00:00+00:00
21483122,Chicago Cubs at New York Mets,SPORT,MLB Baseball,-0.01,,24.0,9495,2026-06-22 23:10:00+00:00
81957125,Les Claypool - Claypool Gold,CONCERT,Alternative,-0.02,,51.0,1573,2026-06-23 01:00:00+00:00
80255258,Audrey Hobert,CONCERT,Pop,-0.02,,51.0,72,2026-06-20 03:30:00+00:00
97254188,Darius Rucker,CONCERT,Rock,-0.02,,51.0,3680,2026-06-25 23:00:00+00:00
98149535,Joji,CONCERT,Rap/Hip Hop,-0.02,,29.0,2303,2026-06-20 22:30:00+00:00
104016796,Jill Scott,CONCERT,R&B,-0.02,,284.0,236,2026-06-24 00:00:00+00:00
121846148,Bleachers Forever,CONCERT,Rock,-0.02,,57.0,480,2026-06-19 23:30:00+00:00
94568998,Chance the Rapper - Juneteenth,CONCERT,Rap/Hip Hop,-0.02,,44.0,1380,2026-06-20 03:00:00+00:00
21483088,St. Louis Cardinals at Kansas City Royals,SPORT,MLB Baseball,-0.02,,40.0,3617,2026-06-21 18:10:00+00:00
49992000,Jack Johnson,CONCERT,Pop,-0.02,,94.0,599,2026-06-20 23:30:00+00:00
12091415,San Francisco Symphony - Gaffigan Conducts Beethoven 9,CONCERT,Classical,-0.02,,175.0,186,2026-06-21 21:00:00+00:00
103126972,Palomazo Norteno,CONCERT,Latin Music,-0.02,,101.0,3991,2026-06-27 03:00:00+00:00
119263210,Buju Banton and Stephen Marley,CONCERT,Reggae,-0.02,,88.0,87,2026-06-27 01:00:00+00:00
100205148,The Guess Who,CONCERT,Rock,-0.02,,46.0,6374,2026-06-26 00:30:00+00:00
21483086,Boston Red Sox at Seattle Mariners,SPORT,MLB Baseball,-0.02,,54.0,9298,2026-06-21 20:10:00+00:00
21482667,Toronto Blue Jays at Chicago Cubs,SPORT,MLB Baseball,-0.02,,119.0,3315,2026-06-19 18:20:00+00:00
21483635,Colorado Rockies at Minnesota Twins (Ludacris Postgame Concert),SPORT,MLB Baseball,-0.02,,28.0,5333,2026-06-27 00:10:00+00:00
56383847,Daniel Tosh,THEATER,Comedy,-0.02,,50.0,147,2026-06-19 23:00:00+00:00
53120042,Parker McCollum,CONCERT,Country and Folk,-0.02,,49.0,1298,2026-06-20 02:30:00+00:00
85005009,NeYo with Akon,CONCERT,R&B,-0.02,,109.0,540,2026-06-24 01:00:00+00:00
110465206,Toronto Tempo at Atlanta Dream,SPORT,WNBA,-0.02,,49.0,2298,2026-06-22 23:30:00+00:00
49992373,Jack Johnson,CONCERT,Pop,-0.02,,93.0,435,2026-06-21 23:30:00+00:00
87645870,Noah Kahan,CONCERT,Pop,-0.02,,433.0,904,2026-06-26 22:30:00+00:00
88014029,Diljit Dosanjh,CONCERT,World Music,-0.02,,186.0,1023,2026-06-21 03:00:00+00:00
82389105,Golden State Valkyries at Las Vegas Aces,SPORT,WNBA,-0.02,,19.0,799,2026-06-21 20:00:00+00:00
21901072,Piano Man,CONCERT,Rock,-0.02,,79.0,94,2026-06-23 01:30:00+00:00
122717939,Black Coffee,CONCERT,Dance/Electronica,-0.02,,95.0,31,2026-06-24 21:00:00+00:00
118393692,Jimmy Eat World,CONCERT,Rock,-0.03,,101.0,49,2026-06-25 21:00:00+00:00
99975523,The Red Clay Strays,CONCERT,Country and Folk,-0.03,,102.0,2108,2026-06-19 00:00:00+00:00
112664334,Max Amini,THEATER,Comedy,-0.03,,98.0,126,2026-06-21 00:00:00+00:00
29985411,2026 Summerfest - Ed Sheeran,CONCERT,Pop,-0.03,,165.0,359,2026-06-26 00:30:00+00:00
42036436,Echo and the Bunnymen,CONCERT,Alternative,-0.03,,65.0,137,2026-06-20 00:00:00+00:00
95018842,Zarna Garg,THEATER,Comedy,-0.03,,66.0,683,2026-06-21 00:00:00+00:00
61833740,Martin Garrix,CONCERT,Dance/Electronica,-0.03,,92.0,81,2026-06-19 00:00:00+00:00
75656151,Styx,CONCERT,Rock,-0.03,,115.0,640,2026-06-20 00:00:00+00:00
21483090,San Francisco Giants at Miami Marlins,SPORT,MLB Baseball,-0.03,,30.0,3705,2026-06-21 17:40:00+00:00
94127210,Rufus Du Sol,CONCERT,Dance/Electronica,-0.03,,106.0,789,2026-06-25 23:30:00+00:00
21483083,Milwaukee Brewers at Atlanta Braves,SPORT,MLB Baseball,-0.03,,39.0,7920,2026-06-21 17:30:00+00:00
84568380,Hot Mulligan,CONCERT,Alternative,-0.03,,71.0,978,2026-06-21 22:30:00+00:00
118822244,Buju Banton and Stephen Marley,CONCERT,Reggae,-0.03,,144.0,404,2026-06-21 02:00:00+00:00
